datetime,actual_load,predicted_load,mode,T_low,T_high,throughput,drop,energy,efficiency
2013-11-21 23:30:00,447.05010420335117,350.0456122724466,normal,345.18315178692586,1624.9281774977514,447.05010420335117,0.0,90,4.967223380037235
2013-11-21 23:40:00,454.7501933752626,405.51336950901276,normal,345.18315178692586,1624.9281774977514,454.7501933752626,0.0,90,5.052779926391807
2013-11-21 23:50:00,373.3242216481394,380.49135596479,normal,345.18315178692586,1624.9281774977514,373.3242216481394,0.0,90,4.148046907201549
2013-11-22 00:00:00,598.9110317728478,401.63157528502575,normal,345.18315178692586,1624.9281774977514,598.9110317728478,0.0,90,6.654567019698309
2013-11-22 00:10:00,265.2238635801599,531.702937937276,normal,345.18315178692586,1624.9281774977514,265.2238635801599,0.0,90,2.9469318175573322
2013-11-22 00:20:00,247.78419383427223,411.3035964824827,normal,345.18315178692586,1624.9281774977514,247.78419383427223,0.0,90,2.7531577092696913
2013-11-22 00:30:00,231.31064339050798,370.8021234432526,normal,345.18315178692586,1624.9281774977514,231.31064339050798,0.0,90,2.570118259894533
2013-11-22 00:40:00,486.64042520694494,301.4121964109556,energy,345.18315178692586,1624.9281774977514,486.64042520694494,0.0,60,8.110673753449083
2013-11-22 00:50:00,410.78887619312957,399.85789154440755,normal,345.18315178692586,1624.9281774977514,410.78887619312957,0.0,90,4.564320846590329
2013-11-22 01:00:00,219.54286108906862,407.8861865528782,normal,345.18315178692586,1624.9281774977514,219.54286108906862,0.0,90,2.4393651232118736
2013-11-22 01:10:00,207.1638464362385,350.612431515906,normal,345.18315178692586,1624.9281774977514,207.1638464362385,0.0,90,2.3018205159582052
2013-11-22 01:20:00,213.17783250636663,265.9145089594054,energy,345.18315178692586,1624.9281774977514,213.17783250636663,0.0,60,3.5529638751061103
2013-11-22 01:30:00,169.69368939834172,242.5935942001657,energy,345.18315178692586,1624.9281774977514,169.69368939834172,0.0,60,2.8282281566390286
2013-11-22 01:40:00,195.7008924374501,197.59042452237918,energy,345.18315178692586,1624.9281774977514,195.7008924374501,0.0,60,3.2616815406241684
2013-11-22 01:50:00,192.646239785525,206.0195248561151,energy,345.18315178692586,1624.9281774977514,192.646239785525,0.0,60,3.2107706630920836
2013-11-22 02:00:00,215.91101989858078,201.26961667174373,energy,345.18315178692586,1624.9281774977514,215.91101989858078,0.0,60,3.5985169983096794
2013-11-22 02:10:00,215.65727436461904,237.91541798783288,energy,345.18315178692586,1624.9281774977514,215.65727436461904,0.0,60,3.594287906076984
2013-11-22 02:20:00,197.0560823088739,224.88163745945872,energy,345.18315178692586,1624.9281774977514,197.0560823088739,0.0,60,3.2842680384812315
2013-11-22 02:30:00,162.64324648856163,199.93748663065912,energy,345.18315178692586,1624.9281774977514,162.64324648856163,0.0,60,2.7107207748093605
2013-11-22 02:40:00,163.7348982616479,187.36182164855944,energy,345.18315178692586,1624.9281774977514,163.7348982616479,0.0,60,2.728914971027465
2013-11-22 02:50:00,182.81086609239847,200.0967460234756,energy,345.18315178692586,1624.9281774977514,182.81086609239847,0.0,60,3.046847768206641
2013-11-22 03:00:00,158.25943461480375,209.4043967349811,energy,345.18315178692586,1624.9281774977514,158.25943461480375,0.0,60,2.6376572435800627
2013-11-22 03:10:00,191.29044341688515,204.40697520827794,energy,345.18315178692586,1624.9281774977514,191.29044341688515,0.0,60,3.188174056948086
2013-11-22 03:20:00,193.28084915666145,218.21579749354004,energy,345.18315178692586,1624.9281774977514,193.28084915666145,0.0,60,3.2213474859443574
2013-11-22 03:30:00,158.25971649824945,219.9503570664403,energy,345.18315178692586,1624.9281774977514,158.25971649824945,0.0,60,2.6376619416374907
2013-11-22 03:40:00,184.12041683401435,207.64838738041482,energy,345.18315178692586,1624.9281774977514,184.12041683401435,0.0,60,3.068673613900239
2013-11-22 03:50:00,191.84568434145163,212.05053169887356,energy,345.18315178692586,1624.9281774977514,191.84568434145163,0.0,60,3.197428072357527
2013-11-22 04:00:00,162.8861159162737,214.2562962781444,energy,345.18315178692586,1624.9281774977514,162.8861159162737,0.0,60,2.7147685986045618
2013-11-22 04:10:00,194.99934544600632,211.25427379596223,energy,345.18315178692586,1624.9281774977514,194.99934544600632,0.0,60,3.249989090766772
2013-11-22 04:20:00,192.3279260579298,227.8220790920373,energy,345.18315178692586,1624.9281774977514,192.3279260579298,0.0,60,3.20546543429883
2013-11-22 04:30:00,173.80576866129962,225.59241602047226,energy,345.18315178692586,1624.9281774977514,173.80576866129962,0.0,60,2.8967628110216603
2013-11-22 04:40:00,192.42390572851644,224.0695768851364,energy,345.18315178692586,1624.9281774977514,192.42390572851644,0.0,60,3.207065095475274
2013-11-22 04:50:00,196.31013348281263,228.74501199902878,energy,345.18315178692586,1624.9281774977514,196.31013348281263,0.0,60,3.271835558046877
2013-11-22 05:00:00,186.42673018297876,227.74844516553628,energy,345.18315178692586,1624.9281774977514,186.42673018297876,0.0,60,3.1071121697163124
2013-11-22 05:10:00,179.04119623234814,229.45247510576218,energy,345.18315178692586,1624.9281774977514,179.04119623234814,0.0,60,2.9840199372058023
2013-11-22 05:20:00,216.99171291507352,226.83969912072195,energy,345.18315178692586,1624.9281774977514,216.99171291507352,0.0,60,3.616528548584559
2013-11-22 05:30:00,191.43398096361497,239.45870851056853,energy,345.18315178692586,1624.9281774977514,191.43398096361497,0.0,60,3.190566349393583
2013-11-22 05:40:00,245.81587990210718,234.86471427297582,energy,345.18315178692586,1624.9281774977514,245.81587990210718,0.0,60,4.096931331701787
2013-11-22 05:50:00,313.5297560468828,266.1557594284269,energy,345.18315178692586,1624.9281774977514,313.5297560468828,0.0,60,5.225495934114714
2013-11-22 06:00:00,264.9136607867933,305.2574310309554,energy,345.18315178692586,1624.9281774977514,264.9136607867933,0.0,60,4.415227679779888
2013-11-22 06:10:00,271.72014089782107,311.52099911769244,energy,345.18315178692586,1624.9281774977514,271.72014089782107,0.0,60,4.528669014963684
2013-11-22 06:20:00,374.7440544732814,323.2434623779256,energy,345.18315178692586,1624.9281774977514,374.7440544732814,0.0,60,6.245734241221356
2013-11-22 06:30:00,365.0026940022832,369.880859751886,normal,345.18315178692586,1624.9281774977514,365.0026940022832,0.0,90,4.055585488914257
2013-11-22 06:40:00,323.7025778369716,393.16250308081374,normal,345.18315178692586,1624.9281774977514,323.7025778369716,0.0,90,3.5966953092996845
2013-11-22 06:50:00,399.29162898570365,401.2713874345553,normal,345.18315178692586,1624.9281774977514,399.29162898570365,0.0,90,4.436573655396708
2013-11-22 07:00:00,330.8521892258286,428.271243992337,normal,345.18315178692586,1624.9281774977514,330.8521892258286,0.0,90,3.67613543584254
2013-11-22 07:10:00,565.5110122550277,404.2831509475516,normal,345.18315178692586,1624.9281774977514,565.5110122550277,0.0,90,6.28345569172253
2013-11-22 07:20:00,747.9486567449717,528.8005956566259,normal,345.18315178692586,1624.9281774977514,747.9486567449717,0.0,90,8.310540630499686
2013-11-22 07:30:00,575.4047325638061,652.293867624127,normal,345.18315178692586,1624.9281774977514,575.4047325638061,0.0,90,6.393385917375623
2013-11-22 07:40:00,598.6077456420587,659.794632093541,normal,345.18315178692586,1624.9281774977514,598.6077456420587,0.0,90,6.651197173800653
2013-11-22 07:50:00,680.9006195651316,687.4371032069345,normal,345.18315178692586,1624.9281774977514,680.9006195651316,0.0,90,7.565562439612573
2013-11-22 08:00:00,848.9669779159672,706.3744461369886,normal,345.18315178692586,1624.9281774977514,848.9669779159672,0.0,90,9.432966421288524
2013-11-22 08:10:00,763.9845114700945,818.4369497929175,normal,345.18315178692586,1624.9281774977514,763.9845114700945,0.0,90,8.488716794112161
2013-11-22 08:20:00,1101.001980235485,845.5405731153015,normal,345.18315178692586,1624.9281774977514,1101.001980235485,0.0,90,12.233355335949833
2013-11-22 08:30:00,1092.8215666096787,1033.9257443536642,normal,345.18315178692586,1624.9281774977514,1092.8215666096787,0.0,90,12.142461851218652
2013-11-22 08:40:00,1022.0304565431759,1096.3130094220166,normal,345.18315178692586,1624.9281774977514,1022.0304565431759,0.0,90,11.355893961590843
2013-11-22 08:50:00,1197.5033041334948,1149.064918916123,normal,345.18315178692586,1624.9281774977514,1197.5033041334948,0.0,90,13.305592268149942
2013-11-22 09:00:00,1217.763077031102,1199.9811078055318,normal,345.18315178692586,1624.9281774977514,1217.763077031102,0.0,90,13.530700855901134
2013-11-22 09:10:00,1306.1302077510825,1241.7483399240198,normal,345.18315178692586,1624.9281774977514,1306.1302077510825,0.0,90,14.512557863900916
2013-11-22 09:20:00,1365.7644886739502,1348.0630723681297,normal,345.18315178692586,1624.9281774977514,1365.7644886739502,0.0,90,15.175160985266112
2013-11-22 09:30:00,1550.6500758905522,1425.0681969352534,normal,345.18315178692586,1624.9281774977514,1447.3297106108769,103.32036527967534,90,16.081441229009744
2013-11-22 09:40:00,1435.421863154392,1531.7708518675593,normal,345.18315178692586,1624.9281774977514,1435.421863154392,0.0,90,15.949131812826577
2013-11-22 09:50:00,1462.514607876833,1539.2886141275098,normal,345.18315178692586,1624.9281774977514,1447.3297106108769,15.184897265956124,90,16.081441229009744
2013-11-22 10:00:00,1974.7691109588352,1562.544712990897,normal,345.18315178692586,1624.9281774977514,1447.3297106108769,527.4394003479583,90,16.081441229009744
